Date,005930.KS,051910.KS,005380.KS,035420.KS,017670.KS,207940.KS,068270.KS,035720.KS,006400.KS,051900.KS
2009-04-15,11700.0,90000.0,65900.0,40448.80078125,191500.0,,15743.400390625,38000.0,77400.0,167500.0
2009-04-16,11620.0,90000.0,64600.0,39958.5,191000.0,,14972.099609375,37000.0,76000.0,166000.0
2009-04-17,11940.0,90000.0,65300.0,37752.19921875,186500.0,,14246.2001953125,35500.0,77900.0,164000.0
2009-04-20,11840.0,127500.0,65900.0,40571.3984375,185000.0,,14654.5,35850.0,77500.0,165000.0
2009-04-21,11820.0,128500.0,64500.0,38977.8984375,185500.0,,14563.7998046875,37450.0,84300.0,163500.0
2009-04-22,12180.0,126500.0,66000.0,39100.5,184500.0,,14699.900390625,37950.0,87700.0,166500.0
2009-04-23,12540.0,134500.0,68100.0,38242.5,184500.0,,14427.599609375,36700.0,88300.0,175500.0
2009-04-24,11840.0,133500.0,66700.0,39223.1015625,185500.0,,14881.2998046875,35500.0,87700.0,177000.0
2009-04-27,11700.0,133500.0,65600.0,37507.1015625,186500.0,,15425.7998046875,35000.0,86500.0,174000.0
2009-04-28,11500.0,128000.0,63900.0,37384.5,186500.0,,13973.900390625,32000.0,83100.0,174000.0
2009-04-29,11720.0,139500.0,65700.0,38487.69921875,187000.0,,14473.0,34100.0,90000.0,172000.0
2009-04-30,11840.0,141500.0,68500.0,38119.8984375,183500.0,,14019.2998046875,35200.0,92000.0,176500.0
2009-05-04,11640.0,138000.0,68900.0,39223.1015625,180500.0,,14155.400390625,35200.0,92500.0,178500.0
2009-05-06,11300.0,139000.0,68900.0,38855.3984375,180000.0,,14609.099609375,35200.0,89800.0,177500.0
2009-05-07,11320.0,136000.0,66500.0,38487.69921875,182000.0,,14382.2998046875,36000.0,87900.0,173000.0
2009-05-08,11380.0,134000.0,65400.0,39100.5,180500.0,,14291.5,36000.0,87300.0,175500.0
2009-05-11,11260.0,133000.0,64800.0,41306.80078125,183500.0,,14427.599609375,35900.0,88000.0,178000.0
2009-05-12,11220.0,134000.0,65400.0,42532.5,182500.0,,14246.2001953125,35900.0,87800.0,177500.0
2009-05-13,11200.0,135000.0,65100.0,45351.69921875,181500.0,,13928.599609375,36650.0,88900.0,181000.0
2009-05-14,11040.0,128500.0,64000.0,44126.0,179000.0,,15062.7998046875,34500.0,86600.0,179000.0
2009-05-15,11100.0,130500.0,63500.0,44126.0,180000.0,,14654.5,34300.0,90100.0,178500.0
2009-05-18,11120.0,131500.0,64200.0,44126.0,178500.0,,14836.0,33550.0,91000.0,188000.0
2009-05-19,11400.0,136500.0,66800.0,45842.0,178000.0,,14745.2001953125,36200.0,92900.0,188500.0
2009-05-20,11520.0,135500.0,67300.0,48293.3984375,177500.0,,16242.400390625,36700.0,97900.0,185000.0
2009-05-21,11260.0,134500.0,66700.0,48170.8984375,177000.0,,16605.400390625,36000.0,94500.0,180000.0
2009-05-22,11000.0,141000.0,64300.0,47558.0,176500.0,,16877.599609375,35500.0,95600.0,182500.0
2009-05-25,10900.0,144000.0,65800.0,47190.30078125,180000.0,,16333.2001953125,36300.0,94800.0,178500.0
2009-05-26,10760.0,151000.0,64500.0,45842.0,179000.0,,15788.7001953125,34700.0,92100.0,180000.0
2009-05-27,10700.0,147000.0,64100.0,44003.3984375,178500.0,,16106.2998046875,33600.0,102000.0,179500.0
2009-05-28,11180.0,146500.0,67800.0,46087.1015625,178000.0,,16151.7001953125,35850.0,101500.0,184500.0
2009-05-29,11160.0,153000.0,69300.0,48783.69921875,176000.0,,17059.099609375,36950.0,103500.0,193500.0
2009-06-01,11160.0,153000.0,71900.0,49028.8984375,173000.0,,17376.69921875,38000.0,105500.0,198000.0
2009-06-02,11120.0,148000.0,71400.0,47190.30078125,170500.0,,17149.80078125,38400.0,102000.0,198500.0
2009-06-03,11040.0,140500.0,71600.0,45229.1015625,177000.0,,17830.400390625,38800.0,101500.0,200500.0
2009-06-04,11100.0,137500.0,72900.0,44126.0,176000.0,,16832.30078125,38800.0,97000.0,200000.0
2009-06-05,11380.0,144000.0,72100.0,44493.69921875,174500.0,,17240.599609375,38250.0,95900.0,197500.0
2009-06-08,11500.0,143500.0,68900.0,44126.0,174000.0,,16650.80078125,37500.0,97700.0,203000.0
2009-06-09,11300.0,144000.0,68000.0,43022.80078125,172500.0,,16741.5,35550.0,92800.0,201000.0
2009-06-10,11740.0,147500.0,72300.0,44371.1015625,177500.0,,16741.5,37200.0,95700.0,200500.0
2009-06-11,11700.0,147500.0,71700.0,46087.1015625,174500.0,,17104.5,38500.0,95000.0,208500.0
2009-06-12,11680.0,149000.0,72300.0,44984.0,176500.0,,17013.69921875,40550.0,96500.0,213500.0
2009-06-15,11580.0,146000.0,71900.0,44493.69921875,179500.0,,16560.0,41600.0,93900.0,212000.0
2009-06-16,11300.0,146000.0,70200.0,45596.80078125,181000.0,,16333.2001953125,42200.0,94000.0,204000.0
2009-06-17,11500.0,141000.0,70500.0,44861.3984375,182000.0,,15879.5,41950.0,93900.0,210000.0
2009-06-18,11300.0,141000.0,70300.0,42532.5,176500.0,,15924.900390625,45000.0,93600.0,205000.0
2009-06-19,11240.0,144500.0,72500.0,42900.19921875,174500.0,,16106.2998046875,45000.0,99000.0,203500.0
2009-06-22,11500.0,141500.0,73800.0,43390.5,174500.0,,16197.099609375,43400.0,99300.0,205500.0
2009-06-23,11500.0,135000.0,73500.0,41919.69921875,175000.0,,15743.400390625,43500.0,96100.0,199500.0
2009-06-24,11600.0,137500.0,73300.0,40939.1015625,173000.0,,15380.400390625,43400.0,99200.0,205500.0
2009-06-25,11760.0,142000.0,75000.0,42532.5,173500.0,,15380.400390625,45050.0,103500.0,214000.0
2009-06-26,11920.0,142000.0,74400.0,42777.69921875,174000.0,,15516.5,46500.0,104500.0,211500.0
2009-06-29,11960.0,137500.0,74100.0,42777.69921875,174000.0,,14699.900390625,45400.0,105500.0,212000.0
2009-06-30,11840.0,139500.0,74100.0,43268.0,174000.0,,15244.2998046875,45200.0,103500.0,216000.0
2009-07-01,12060.0,135500.0,73200.0,44248.5,178500.0,,15471.2001953125,43050.0,100000.0,215000.0
2009-07-02,12040.0,137000.0,72500.0,44738.80078125,178500.0,,15471.2001953125,42650.0,101000.0,219000.0
2009-07-03,12020.0,141000.0,72800.0,46822.6015625,179000.0,,15879.5,43550.0,104000.0,214500.0
2009-07-06,12680.0,142000.0,73600.0,46454.80078125,181000.0,,16287.7998046875,43550.0,105000.0,213000.0
2009-07-07,13000.0,144500.0,76100.0,45719.3984375,179000.0,,16968.400390625,45700.0,106500.0,216000.0
2009-07-08,13100.0,144000.0,78200.0,45474.30078125,182000.0,,16333.2001953125,47650.0,106000.0,211500.0
2009-07-09,13000.0,141000.0,77200.0,44248.5,184500.0,,15834.099609375,47600.0,105000.0,204500.0
2009-07-10,12900.0,140500.0,77300.0,44248.5,185000.0,,15244.2998046875,45600.0,102500.0,203000.0
2009-07-13,12400.0,134000.0,74800.0,43513.1015625,182000.0,,14972.099609375,44900.0,97000.0,203500.0
2009-07-14,12680.0,134500.0,74400.0,42532.5,179000.0,,15198.900390625,44900.0,100000.0,203500.0
2009-07-15,13320.0,137500.0,75500.0,44003.3984375,176000.0,,15335.0,46400.0,102500.0,205000.0
2009-07-16,13480.0,138500.0,77100.0,43268.0,175000.0,,14654.5,45800.0,101000.0,203000.0
2009-07-17,13400.0,139000.0,77900.0,43880.80078125,177000.0,,15153.599609375,47450.0,102000.0,202500.0
2009-07-20,13800.0,142000.0,80800.0,46454.80078125,177000.0,,15198.900390625,48200.0,107500.0,204500.0
2009-07-21,13840.0,140000.0,83700.0,46700.0,179500.0,,15879.5,48050.0,104500.0,205000.0
2009-07-22,13760.0,140000.0,84200.0,46822.6015625,181000.0,,15289.7001953125,49300.0,104000.0,201000.0
2009-07-23,13560.0,136000.0,81700.0,46332.30078125,185500.0,,15017.5,49500.0,105000.0,206500.0
2009-07-24,13660.0,138000.0,82400.0,45719.3984375,183000.0,,15471.2001953125,49000.0,105000.0,209500.0
2009-07-27,13980.0,140000.0,86500.0,47680.6015625,179500.0,,15425.7998046875,49500.0,106000.0,210000.0
2009-07-28,14000.0,138000.0,85500.0,46209.69921875,182500.0,,15198.900390625,49800.0,103500.0,216000.0
2009-07-29,13940.0,136000.0,87100.0,45229.1015625,182500.0,,15062.7998046875,50000.0,100000.0,213000.0
2009-07-30,14280.0,138000.0,88000.0,43880.80078125,185000.0,,15471.2001953125,49900.0,99900.0,215500.0
2009-07-31,14480.0,152000.0,88100.0,43758.30078125,185500.0,,15380.400390625,50000.0,102000.0,220500.0
2009-08-03,14300.0,155000.0,90300.0,44616.30078125,184000.0,,15607.2998046875,49600.0,110000.0,221500.0
2009-08-04,14500.0,157500.0,93400.0,44984.0,179000.0,,15698.0,49850.0,109000.0,228500.0
2009-08-05,14660.0,153500.0,92400.0,44126.0,179000.0,,15561.900390625,49800.0,107000.0,222500.0
2009-08-06,14300.0,152500.0,92400.0,43022.80078125,180500.0,,15425.7998046875,49150.0,111000.0,230000.0
2009-08-07,14320.0,154500.0,90800.0,41184.19921875,178500.0,,15425.7998046875,48950.0,110500.0,220500.0
2009-08-10,14200.0,162500.0,91000.0,40203.69921875,176500.0,,15698.0,48150.0,114500.0,218500.0
2009-08-11,14100.0,171000.0,91800.0,42042.19921875,178000.0,,16015.599609375,46600.0,118500.0,220000.0
2009-08-12,13860.0,171000.0,90400.0,41306.80078125,176500.0,,16151.7001953125,46300.0,121500.0,220000.0
2009-08-13,14040.0,173000.0,92900.0,40694.0,174000.0,,16423.900390625,47500.0,120500.0,216000.0
2009-08-14,14620.0,171500.0,92900.0,41797.1015625,174000.0,,15879.5,47100.0,119500.0,219500.0
2009-08-17,14260.0,168500.0,89600.0,39713.3984375,173000.0,,15425.7998046875,43750.0,120500.0,216000.0
2009-08-18,14600.0,173500.0,91700.0,40694.0,175000.0,,15153.599609375,44050.0,126000.0,217500.0
