Date,KOSPI2 INDEX,005930 KS EQUITY,MXWO INDEX,CCMP INDEX,SPX INDEX,VIX INDEX,NDX INDEX,SX5E INDEX,NKY INDEX,DAX INDEX,HSI INDEX,SXXP INDEX,UKX INDEX,TPX INDEX,SHCOMP INDEX,MXEF INDEX,MXWD INDEX,SOX INDEX,DXY INDEX,FEDL01 INDEX,KOSDAQ INDEX,XAU BGN CURNCY,USDKRW BGN Curncy,EHGDKRY Index,USDCNY BGN Curncy,USDEUR Curncy,GJGB10 INDEX,CAD BGN CURNCY,GT10 GOVT,GBPUSD CURNCY,USDJPY CURNCY,BRL CURNCY,CL1 COMDTY,SMI INDEX
2004.1.31,110.89,8167,1052.29,2066.15,1131.13,16.63,1493.08,2839.13,10783.61,4058.6,13289.37,235.81,4390.7,1047.51,1590.729,457.19,255.2,514.42,87.2,1,441.45,402.45,1173.5,3.15,8.2768,0.8015,1.322,1.3252,4.134,1.8238,105.71,2.9345,33.05,5736.4
2004.2.29,115.92,8495,1068.65,2029.82,1144.94,14.55,1470.38,2893.18,11041.92,4018.16,13907.03,242.59,4492.2,1082.47,1675.067,477.73,259.51,502.26,87.31,1.01,428.68,396.15,1176.53,3.15,8.2769,0.8005,1.235,1.3343,3.973,1.8685,109.11,2.9059,36.16,5798.4
2004.3.31,115.98,8915,1059.16,1994.22,1126.21,16.74,1438.41,2787.49,11715.39,3856.7,12681.67,236.59,4385.7,1179.23,1741.623,482.06,257.43,487.12,87.61,1,434.16,426.45,1147.28,3.15,8.277,0.812,1.45,1.3093,3.837,1.8462,104.23,2.8953,35.76,5618.6
2004.4.30,112.4,8682,1035.66,1920.15,1107.31,17.19,1401.36,2787.48,11761.79,3985.21,11942.96,239.05,4489.7,1186.31,1595.587,441.3,250.93,443.48,90.48,1,453.47,386.75,1173.35,3.15,8.2771,0.835,1.54,1.3722,4.507,1.7781,110.52,2.933,37.38,5774.4
2004.5.31,104.14,7887,1042.63,1986.74,1120.68,15.5,1466.22,2749.62,11236.37,3921.41,12198.24,237.35,4430.7,1139.94,1555.906,431.26,252.28,488.86,88.9,1,400.92,395.55,1160.1,3.15,8.2768,0.8205,1.529,1.3624,4.649,1.8323,109.52,3.189,39.88,5627.1
2004.6.30,101.85,7515,1062.51,2047.79,1140.84,14.34,1516.64,2811.08,11858.87,4052.73,12285.75,240.86,4464.1,1189.6,1399.162,432.2,256.89,485.09,88.8,1.03,385.18,394.25,1155.45,3.15,8.2766,0.8196,1.786,1.3328,4.583,1.8204,108.77,3.085,37.05,5619.1
2004.7.31,95.27,6570,1026.99,1887.36,1101.72,15.32,1400.39,2720.05,11325.78,3895.61,12238.03,236.4,4413.1,1139.3,1386.202,423.14,248.45,416.43,89.96,1.26,331.21,391.05,1170.1,3.15,8.277,0.8321,1.859,1.3314,4.477,1.8199,111.36,3.0365,43.8,5547.2
2004.8.31,102.89,7105,1029.63,1838.1,1104.24,15.29,1368.68,2670.79,11081.79,3785.21,12850.28,233.63,4459.3,1129.55,1342.062,439.75,249.51,371.02,88.94,1.43,355.66,409.85,1152.45,3.15,8.2765,0.8208,1.544,1.3127,4.119,1.8024,109.17,2.927,42.12,5421.7
2004.9.30,107.69,7216,1047.86,1896.84,1114.58,13.34,1412.74,2726.3,10823.57,3892.9,13120.03,237.74,4570.8,1102.11,1396.7,464.15,254.37,384.2,87.37,1.61,362.08,418.25,1151.85,3.15,8.2765,0.8041,1.449,1.2613,4.121,1.812,110.05,2.8608,49.64,5465.3
2004.10.31,107.99,6924,1072.7,1974.99,1130.2,16.27,1486.72,2811.72,10771.42,3960.25,13054.66,240.3,4624.2,1085.43,1320.536,474.27,260.38,412.25,84.91,1.76,357.04,428.55,1119.35,3.15,8.2766,0.7814,1.499,1.2177,4.025,1.8373,105.81,2.857,51.76,5363.4
